Mth	Year	Gaps	Good	Minimum	Maximum	Mean	St Devn
12	2010	0	744	0.139	2.005	1.023	0.414
1	2011	21	723	0.081	2.027	0.989	0.412
2	2011	25	647	0.143	2.054	1.037	0.411
3	2011	0	744	0.16	1.922	1.013	0.398
4	2011	0	720	0.332	2.044	1.102	0.388
5	2011	0	744	0.195	2.023	1.166	0.401
6	2011	22	698	0.369	2.129	1.181	0.395
7	2011	0	744	0.221	2.037	1.097	0.416
8	2011	0	744	0.127	2.077	1.007	0.43
9	2011	0	720	0.137	1.982	0.992	0.414
10	2011	0	744	0.061	1.997	0.989	0.416
11	2011	12	708	0.228	2.127	1.029	0.405
12	2011	0	744	0.187	2.019	1.036	0.402
1	2012	23	721	0.178	1.978	0.989	0.408
2	2012	0	696	0.28	2.035	1.043	0.404
3	2012	0	744	0.374	2.065	1.09	0.387
4	2012	0	720	0.202	2.072	1.122	0.4
5	2012	0	744	0.245	2.115	1.114	0.406
6	2012	0	720	0.367	2.306	1.091	0.416
7	2012	0	744	0.235	2.075	1.039	0.42
8	2012	0	744	0.218	1.991	1.041	0.421
9	2012	0	720	0.131	1.821	0.998	0.413
10	2012	0	744	0.107	1.918	0.99	0.413
11	2012	0	720	0.105	2.017	0.966	0.412
12	2012	0	744	0.06	2.027	1.028	0.418
1	2013	0	744	0.151	2.071	1.034	0.414
2	2013	0	672	0.115	1.906	1.026	0.413
3	2013	0	744	0.32	2.158	1.145	0.401
4	2013	0	720	0.423	2.194	1.205	0.412
5	2013	0	744	0.256	2.118	1.16	0.414
6	2013	0	720	0.241	2.194	1.185	0.408
7	2013	0	744	0.167	2.101	1.067	0.408
8	2013	0	744	0.241	2.041	1.078	0.401
9	2013	0	720	0.182	1.856	1.032	0.413
10	2013	0	744	0.347	1.975	1.115	0.403
11	2013	0	720	0.256	2.017	1.051	0.405
12	2013	0	744	0.216	2.135	1.062	0.416
1	2014	0	744	0.027	2.218	0.991	0.436
2	2014	0	672	0.01	1.903	1	0.412
3	2014	0	744	0.081	1.822	0.968	0.415
4	2014	0	720	0.252	1.952	1.055	0.398
5	2014	0	744	0.214	1.971	1.118	0.4
6	2014	0	720	0.357	2.229	1.166	0.405
7	2014	0	744	0.237	2.147	1.1	0.412
8	2014	0	744	0.082	2.022	0.999	0.411
9	2014	0	720	0.045	1.924	1.048	0.409
10	2014	0	744	0.238	1.926	1.008	0.416
11	2014	0	720	0.218	2.039	1.029	0.415
12	2014	0	744	0.209	1.993	1.04	0.42
1	2015	0	744	0.046	2.082	1.031	0.422
2	2015	0	672	-0.037	1.945	0.993	0.419
3	2015	0	744	0.19	1.953	1.098	0.403
4	2015	0	720	0.236	2.281	1.152	0.41
5	2015	0	744	0.372	2.051	1.202	0.406
6	2015	0	720	0.271	2.059	1.091	0.403
7	2015	0	744	0.229	2.008	1.009	0.421
8	2015	0	744	0.116	2.029	0.986	0.429
9	2015	0	720	0.163	1.893	1.019	0.42
10	2015	0	744	0.078	1.902	0.945	0.418
11	2015	0	720	0.159	2.051	0.983	0.416
12	2015	10	734	0.143	1.958	0.992	0.417
1	2016	0	744	0.277	1.955	1.049	0.393
2	2016	0	696	0.16	1.959	1.046	0.413
3	2016	0	744	0.184	1.908	1.048	0.4
4	2016	0	720	0.304	2.132	1.055	0.412
5	2016	0	744	0.292	2.097	1.168	0.41
6	2016	0	720	0.329	2.201	1.137	0.416
7	2016	0	744	0.339	2.171	1.126	0.414
8	2016	0	744	0.189	2.11	1.062	0.413
9	2016	0	720	0.188	1.912	1.082	0.404
10	2016	0	744	0.3	2.047	1.122	0.406
11	2016	0	720	0.096	2.061	1.095	0.418
12	2016	0	744	0.088	2.14	1.035	0.418
1	2017	0	744	0.224	2.154	1.076	0.418
2	2017	0	672	0.218	2.099	1.107	0.409
3	2017	26	718	0.23	2.033	1.048	0.413
4	2017	0	720	0.353	2.152	1.112	0.404
5	2017	0	744	0.355	2.193	1.126	0.403
6	2017	0	720	0.28	2.256	1.087	0.403
7	2017	0	744	0.108	2.085	1.059	0.401
8	2017	0	744	0.265	2.127	1.118	0.399
9	2017	0	720	0.205	1.907	1.068	0.406
10	2017	0	744	0.118	1.859	0.994	0.417
11	2017	0	720	0.175	2.082	0.962	0.43
12	2017	0	744	0.158	2.29	1.062	0.435
1	2018	0	744	0.177	2.27	1.052	0.433
2	2018	0	672	0.214	2.112	1.044	0.405
3	2018	0	744	0.188	1.996	1.058	0.406
4	2018	0	720	0.352	1.956	1.054	0.397
5	2018	0	744	0.158	2.027	1.08	0.414
6	2018	0	720	0.142	2.083	1.104	0.412
7	2018	0	744	0.178	2.185	1.097	0.414
8	2018	0	744	0.093	2.085	1	0.414
9	2018	0	720	-0.005	1.927	0.91	0.41
10	2018	0	744	0.144	1.874	0.921	0.416
11	2018	0	720	0.282	2.166	1.021	0.425
12	2018	0	744	-0.01	2.002	0.966	0.425
1	2019	0	744	0.032	2.065	0.976	0.414
2	2019	0	672	0.122	2.105	1.024	0.413
3	2019	0	744	0.152	1.977	1.072	0.399
4	2019	0	720	0.105	1.813	1.048	0.398
5	2019	0	744	0.293	1.971	1.112	0.407
6	2019	0	720	0.343	2.207	1.106	0.406
7	2019	0	744	0.155	2.048	1.07	0.421
8	2019	0	744	0.057	2.073	1.03	0.432
9	2019	0	720	0.08	2.006	1.005	0.428
10	2019	0	744	0.168	1.903	1.004	0.417
11	2019	0	720	0.192	1.957	1.026	0.414
12	2019	0	744	0.116	1.971	1.013	0.419
1	2020	0	744	0.093	2.045	1.021	0.409
2	2020	0	696	0.107	2.016	1.043	0.401
3	2020	0	744	0.046	1.894	1.012	0.391
4	2020	0	720	0.29	2.07	1.099	0.401
5	2020	0	744	0.264	2.16	1.126	0.419
6	2020	0	720	0.313	2.048	1.084	0.406
7	2020	0	744	0.261	1.96	1.094	0.411
8	2020	0	744	0.281	2.085	1.059	0.402
9	2020	0	720	0.106	1.919	0.986	0.406
10	2020	0	744	0.008	1.887	0.967	0.408
11	2020	0	720	0.181	2.031	1.032	0.401
12	2020	0	744	0.102	1.984	1.038	0.41
